,address,availability,bathroom,bedrooms,date_listed,date_update,furnished,gender,link,parking,pet,price,smoking,text,title,type_,user,views,latitude,longitude
777,414-418 pitt st,13/11/2018,2 Bathrooms,3 Bedrooms,13/11/2018,13/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/haymarket/flatshare-houseshare/looking-for-1-girl-to-share-the-room-city-location-/1200843700,None,No,$230,Yes,"looking for one girl only to share with 1 other girl,great location and good building facilities,clean and tidy 3bedroom and 2bathroom apt , with only 5 people live in total.,close to entertaimen and groceries, paddy’s market , china town, townhall station and bus stop! perfect location in the middle of city,the room is available now for 1 person (girl),price $230/week including all bills,electricity and internet,building facilities: gym, sauna, spa, swimming pool,address: 414-418 pitt st , regis tower apt,hurry! highly demand..,contact for inspect the room : priska ******1516",looking for 1 girl to share the room (City location),Flatshare,"priska,6, ,ads,Gummie since, ,2015","16, , views",51.5035473,-0.1941027
778,"Ultimo, NSW",04/01/2019,1 Bathroom,2 Bedrooms,13/11/2018,13/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/ultimo/flatshare-houseshare/ultimo-4-girls-apartment-for-rent-available-on-the-4th-jan-19/1200845715,Off Street,No,$250,No,"Hey girls,,I have two bedrooms apartment for rent, it will be available on 4th Jan. I am looking for four girls who are lovely, tidy, friendly, considerable share-mate for sharing this apartment. There are two single beds in each room so that you can have a comfortable sleeping condition.,My apartment located on 392 Jones Street Ultimo. Excellent location with beautiful City / CBD Views: 2 minutes’ walk to UTS Business School, UTS and Ultimo TAFE. 4 minutes to Ian Thorpe Swimming Pool and GYM. Less than 5 minutes’ walk to Market City, Chinatown, Haymarket, Darling Harbour, Woolworths, multiple Shopping Centers - Market City, Harborside, Broadway Central Station, and Central Park Shopping Mall and many restaurants, cafes and public transport options (including buses, and light rail).15 minutes’ walk to CBD, Townhall station.,All bill included (Electricity, water, Unlimited NBN).,It’s two levels apartment, 2 bedrooms, toilet, laundry are upstairs, living room and kitchen are downstairs. Nobody lives in the living room.,$250 per person weekly (Maximum 4 girls in the whole apartment).,Minimum 3 months contract,2 weeks bond.,Fully furnished with everything you need.,Feel free for more information and inspection. Please contract with me if you are interested. (Please text me: Name, Gender, Nationality, Age, Visa, occupation, Expected Date to Move-In, age (if you don’t mind). Thanks.,Looking forward to hearing from you.,Best regards,Katherine Zhang,******8679","Ultimo 4 girls apartment for rent,available on the 4th Jan 19",Flatshare,"Katherine,Gummie since, ,2015","32, , views",-33.8794728,151.1984346
779,"28 Harbour Street, Sydney NSW",13/11/2018,2 Bathrooms,2 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/sydney-city/flatshare-houseshare/luxury-double-room-5-mins-town-hall-darling-harbour-/1200845846,LUG,No,$400,,"Walk to UTS and World Square Shopping Centre,Resort facilities 20 m Outdoor Heated Pool and Gym,24 Hours Security and concierge,Car parking optional,550pw for Master Room with ensuite,Prices include Ac and all bills",Luxury Double Room 5 Mins Town Hall Darling Harbour ******9138,Flatshare,"William,4, ,ads,Gummie since, ,2014","41, , views",-33.8708462,151.202955
780,Chatswood NSW,13/11/2018,2 Bathrooms,2 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/chatswood/flatshare-houseshare/private-room-available-in-lindfield/1200845484,Street,No,$260,No,"We are looking for 1 person to share an apartment with us.,Available from 10/11/18.,The room is fully furnished.,Location is very convenient - 5 min walk from Lindfield station.,All restaurants, shops in walking distance.,Suitable for someone who is working or studying around north shore, St Leonards, Chatswood, Macquarie uni or city.,Price $260 per person",Private room Available in Lindfield,Flatshare,"Karan Bhatia,Gummie since, ,2015","48, , views",-33.7944797,151.1818571
781,the ponds,,,,13/11/2018,14/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/schofields/flatshare-houseshare/the-ponds-one-bedroom-for-rent-170-week-include-bills-/1195281828,,No,$170,No,"Hi,,I have a fully furnished big size bedroom for rent at the ponds area, close to bus stop and shops, very peaceful street, you will share the house with a young family, No smoking inside house, 2 weeks bonds advance .All bills included,Contact,Angela: ******5064 （pls text me if I don’t answer),Sam: ******3290",The Ponds One bedroom for rent $170/week include bills ,,"angela,Gummie since, ,2018","22, , views",-33.7066667,150.9091667
782,"Blacktown, NSW",15/11/2018,1 Bathroom,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/blacktown/flatshare-houseshare/the-furnitured-room-and-convenient-location/1200848114,Street,No,$180,No,"The house has two full bathrooms and an additional toilet downstairs off the laundry.The room is being offered to working people or students.,The house is quiet and relaxed and is conveniently located on the Kings Langley side of Blacktown close to the M7 and the multitude of businesses off sunnyholt rd.All bills are included in the rental price including gas, water, electricity and unlimited internet provided the usage is reasonable.,We will do our best to ensure your stay with us is a pleasant one and hope that you will show us the same courtesy.Room to rent in a near new 2 story house. Full use of the kitchen and laundry facilities is available to you at all times. Crockery, cutlery, kitchen utensils and pots and pans are all supplied.,We are only a few hundred meters to the well serviced T Way and Located 2 minutes to numerous bus lane on Sunnyholt Road and the short 5 minute bus ride to Blacktown station. Seven Hill station is also very close by and has a free multilevel car park if you need.,The bedroom can be offered furnished or unfurnished. We will supply bed, inner spring mattress, built in wardrobe, draws and desk and chair. The room also has a tv point.We looking for long term over 6 months tenants..There is fast NBN internet.",The furnitured room and convenient location,Houseshare,"Rose Tian,Gummie since, ,2012","95, , views",-33.7401885,150.864835533
783,"Linden Way, Bella Vista NSW",13/11/2018,2 Bathrooms,,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/bella-vista/flatshare-houseshare/room-for-rent-modern-home-bella-vista-norwest-business-park/1200833035,,No,$230,No,"Looking for a tidy, responsible, easy going person. (Room for single person). Non-smoking.,- All bills included: Water, Electricity, Gas, Wi-Fi. Shared bathroom. Fully furnished. Spacious room with built-in wardroves.,- Conveniently located, 10 min walk to Woolworth Building, ResMed, Hillsong College, Coles, Norwest Marketown.,- Buses to City, Parramatta CBD, Castle Towers, Westmead hospital, Chatswood.,- If you have a car, plenty of spaces at roadside of the house. This is a very safe modern area.,- Beautiful area, nearby Bella Vista farms and Bella Vista waters. Parks, Lakes and Walkways.,Extra: You will get access the use of the Lindenwood community facilities: all-weather grass tennis court, swimming pool and spa, the village green with seating, all right in front of our house.,We prefer female. However, a male that is tidy, nice and respectful can be considered.,All photos are up-to-date. Any questions just contact me.",Room for rent – Modern home - Bella Vista - Norwest Business Park,Houseshare,"Sue,Gummie since, ,2012","35, , views",-33.7385294,150.9556735
784,"Newtown, NSW",17/11/2018,1 Bathroom,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/newtown/flatshare-houseshare/short-term-own-room-in-a-cozy-quite-apartment-18-11-10-12/1200833242,Street,No,$240,No,"Hello there,,i'm looking for someone to rent out the main room of the house for a short term.,Only 2 people living in the house included you!,the room will be available from this weekend. 18/11 till the moving date on sunday 9/12.,Fully furnished room. sheets available. all bills included.,8 min walking to stanmore station. Really quite house perfect for students,15 min cycling to sydney uni,feel fre to ask questions or come to have a look at the place,thanks",Short term own room in a cozy quite apartment 18/11--10/12,Flatshare,"Andre,4, ,ads,Gummie since, ,2015","50, , views",-33.8961132,151.1801893
785,Auburn NSW,13/11/2018,2 Bathrooms,4 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/auburn/flatshare-houseshare/auburn-room-available-now-move-now/1200833936,Street,No,$190,No,"Hi everyone,We have 1 room available in auburn,$190/w all the bill included(except heater or cooler ),Clean house with share kitchen and 2 share bathroom,10 mins walk to auburn station,And 7 mins to all the shops,If you interesting please call,Daisy ******4566,Bond 2 weeks,Thanks","Auburn room available now ,move now",Houseshare,"daisy,Gummie since, ,2014","46, , views",-33.849302,151.0328106
786,"Unit 503, Building P, 81 Courallie Ave Homebush West NSW 2140",13/11/2018,2 Bathrooms,3 Bedrooms,13/11/2018,14/11/2018,Yes,Female,https://www.gumtree.com.au/s-ad/homebush-west/flatshare-houseshare/second-room-housemate-needed-in-new-apartment/1200846954,Covered,,$210,,"Hi there,,Due to my brother moved out, I am currently looking for female housemate.,My apartment has 3 bed rooms and 2 bath rooms and 2 parkings and it is located at near flemington market and it takes 10 minutes to get to the Flemington station.,The room has new bed and desk and those are new so do not worry about them:),There are swimming pool, tennis court, basketball court and gym as well:),I offer card swipe and key, so you don't need to worry about waiting outside till someone opens the door :),If you want to smoke, you can smoke at balcony. ( I don't smoke but I don't mind if you smoke.),I would like to get 2 weeks deposit, but you can give me instalment if you are struggle.,Also, I would like to stay with someone who stay at least 3 months or something:),Inspection is available after 6pm but please text me and let's discuss when :),If you are looking a quiet and clean house with fair price, feel free to contact to ******1337.,Thank you very much:)",Second room housemate needed in new apartment,Houseshare,"hogon kim,Gummie since, ,2016","30, , views",none,none
787,campsie,15/11/2018,2 Bathrooms,3 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/belmore/flatshare-houseshare/private-room-for-rent-in-campsie/1200834634,,Yes,$230,Yes,"A private room is available from 15th nov until 5th feb. Its a furnished 3 bedroom apartment and you will be staying with two other students. Renting it as i will be travelling for 2 months.,Features:,- Double bed with private bathroom and balcony,- Furnished apartment including bed, built in ensuite tv, fridge, sofa, washing machine, oven, dryer etc,- Car parking,Location:,- 5 min by bus from campsie station,- 7 min walk to coles and plus fitness,- express trains from campsie to central,- direct bus to strathfield/burwood,Suitable for 1 person ($230) or a couple ($330) incl. bills,Text me on ******8355 for more info",Private room for rent in campsie,Flatshare,"Hossain Inkiat,Gummie since, ,2018","52, , views",-33.9143894,151.1032133
788,"Marrickville NSW 2204, Australia",,,,13/11/2018,13/11/2018,Yes,,https://www.gumtree.com.au/s-ad/marrickville/flatshare-houseshare/private-single-room-in-marrickville/1200834821,,No,$250,No,"Very close to train station,Restaurants shops just downstairs,Welcome boys and girls or couples,15 minutes to city,2 weeks bond,Included all bills,$190 per person,$250-$270 private single room",Private single room in Marrickville,,"Brygida Zyska,4, ,ads,Gummie since, ,2012","16, , views",-33.9103854,151.1556908
789,Auburn NSW,14/11/2018,2 Bathrooms,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/auburn/flatshare-houseshare/auburn-house-single-room-to-rent/1200834187,Street,No,$160,Yes,"Auburn house Single room to rent, going to find nice clean man to movie in. House easy to park on quite street . Close to shopping center.,For further information please contact Alex ******6818",Auburn house Single room to rent,Houseshare,"Alex,Gummie since, ,2014","110, , views",-33.849302,151.0328106
790,"Railway Avenue, Eastwood, NSW",16/10/2018,3 Bathrooms,3 Bedrooms,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/eastwood/flatshare-houseshare/rooms-with-shower-to-let-3min-to-train-bus-stations-shops/1200833508,Off Street,No,$230,No,"Rooms (with shower/toilet and walk-in-robe) for rent (prefer single),Newly built, bright, clean 3-room flat;,Kitchen and sitting room shared with one or two other room mate(s);,Plenty of shaded off street parking space;,Private entrance/exit; cozy yard;,Well located: 3 minutes' walking to train,bus,shops,library, parks,and various restaurants of all cultures; 23min express train to city;,Big size, Fully equipped: tables, wardrobes, beds; Kitchen: stove,fridge,cooking ware; washing machine; etc.,$230 bills and unlimited internet included,Clean and polite people are welcome (not for couple please)","Rooms with shower to let 3min to train/bus stations, shops",Flatshare,"Rachel,Gummie since, ,2011","37, , views",-33.787632,151.0822533
791,"Taranto Rd, Marsfield, NSW",20/11/2018,,1 Bedroom,13/11/2018,13/11/2018,Yes,No Preference,https://www.gumtree.com.au/s-ad/marsfield/flatshare-houseshare/room-for-rent/1200834963,Covered,No,$235,No,"Hi guys,We are a friendly couple looking for clean and tidy persons to rent a room in our 3 bedrooms townhouse which is located at Taranto Road (*Location near corner Culloden Rd. & Talavera Rd.),Is a very quiet street but still very,close to Super market, public transport only 2min walk, restaurant, and Macquarie University.,The location is really convenient,The weekly rent include bills for internet, electricity and water (reasonable usage). Facility swimming pool is included,See ya!",ROOM for rent,,"Evy,Gummie since, ,2015","27, , views",-33.7690585,151.1107983
